127.0.0.1 - - [04/Apr/2016:09:08:49 +0900] "GET / HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:51 +0900] "GET / HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/common/footer.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/member/logout.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/common/reset.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/common/indexHeader.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/common/index.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 6588
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/js/jquery-1.12.1.js;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 388095
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/img/common/traveryIcon.PNG;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/js/json2.js;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 200 18942
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /resource/img/common/IndexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "POST /doLogin;jsessionid=48BB396142E3A6D5616856B67937648D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /originPlaceList HTTP/1.1" 200 7363
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/common/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/common/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/common/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/member/logout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/common/leftMenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/common/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/place/hitTheRoad.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/country/country.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/pack/myPack.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:56 +0900] "GET /resource/css/pack/sharePack.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/place/recommendPlace.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/place/originPlaceList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/common/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/place/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/member/personalInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/css/reserve/tripReservation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/js/jquery-1.12.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/js/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/js/json2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:57 +0900] "GET /resource/img/common/traveryIcon.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:08:59 +0900] "GET /packList HTTP/1.1" 200 12794
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:09:10 +0900] "GET /registerMember HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:09:14 +0900] "GET /memberList HTTP/1.1" 200 14208
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:09:17 +0900] "GET /memberDetail?email=vltm HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:09:20 +0900] "GET /memberDetail?email=showil20@nate.com HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:11:21 +0900] "GET /originPlaceList HTTP/1.1" 200 7363
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:11:24 +0900] "GET /newPlaceList HTTP/1.1" 200 12377
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:11:26 +0900] "GET /placeDetail?placeId=7 HTTP/1.1" 200 8328
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:11:27 +0900] "GET /resource/css/place/placeListDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2016:09:12:00 +0900] "GET /packList HTTP/1.1" 200 12794
